challenge_id,challenge_type_disag,challenge_type
ca59de4e-2bbb-4167-98c3-113589629afb,CANCELADO,xxxxxxxxx
cbcd763b-cfea-43f3-b5aa-5a0d70c8b424,CANCELADO,xxxxxxxxx
e83bea01-2d72-4493-bbd8-09f21aee113e,AD HOC,Cobertura
24f7e2e0-c29a-49d5-9f2d-912915986e01,AD HOC,Cobertura
3eff8d8e-b2fd-434c-b9ae-69f9e8327d11,CANCELADO,xxxxxxxxx
eddc9915-10ba-43df-95f6-accd9cd1474b,AD HOC,Cobertura
f899a458-e8cb-471f-90e7-25707d43b6f8,CANCELADO,xxxxxxxxx
8e8dbb90-8658-47a6-b9bf-70938a631347,CANCELADO,xxxxxxxxx
27fae364-b3da-435f-8e19-b7b8f754b0c3,CANCELADO,xxxxxxxxx
f461a2ba-dece-41fa-bfcb-a838753554a6,AD HOC,Cobertura
77c7c1a0-b1cb-47b2-98ae-e5d156554ad6,AD HOC,Cobertura
e0d29339-ceb5-4b44-a0fa-23bc3b46f078,AD HOC,Cobertura
2b362479-08af-4930-ba7a-2ce2d2f4895b,AD HOC,Cobertura
9bda1c43-6032-48cf-be06-302328e069a2,AD HOC,Cobertura
4221a964-6180-41af-88b3-156438974db8,CANCELADO,xxxxxxxxx
4511fd91-d109-4003-a06b-cdd6b4b55e6a,AD HOC,Cobertura
6deeab7b-8e7e-471b-b5a7-e87d03d912fd,AD HOC,Cobertura
d076c43c-1393-4a90-a036-14441b3cf033,AD HOC,Cobertura
0d2c6acd-f011-4509-855e-06c9ba1416c4,CANCELADO,xxxxxxxxx
1bbba8cf-957c-4e9d-9f90-20c42db9b9ec,CANCELADO,xxxxxxxxx
041e8d38-8d58-4c87-a16a-d40ec6f6c5ba,AD HOC,Cobertura
bf3a1be4-e83b-4d77-bf47-39f84117e903,AD HOC,Cobertura
96728ecd-074b-4dc8-98c1-3793270b68fa,AD HOC,Cobertura
58e6582b-efb9-4efe-816f-1668c7053d3c,AD HOC,Cobertura
724011df-ecb6-4a12-b03e-8c0a29d6759f,AD HOC,Cobertura
04a77c67-3ae8-4216-9082-8caf0d2e5d09,AD HOC,Cobertura
